,uid,mat,createtime,voteUp,content
46,1254939106,0,1565842917000,0,龙波经济来源是个谜 出手那么阔绰 一定有个金主
46,1333430687,0,1565794025000,0,为了新朋友怒杀旧友，张小敬可以的，谁认识谁倒霉
46,1148185767,0,1565963923000,0,旭日升冰茶
46,1088457547,0,1565957807000,0,带资进组的就是好
46,1444992045,0,1565960475000,0,有张小敬这种兄弟真是造孽！！保持队形
46,1717319213,0,1565842733000,6,开始看见张小敬挺帅。现在他背叛兄弟愚忠。真让人牙痒
46,1148185767,0,1565963941000,0,旭日升冰茶，爽口爽心
46,1329955856,0,1566048850000,0,张小敬对自己兄弟从不手软👍
46,429718232,0,1566119364000,0,张小敬从出场就是护长安的，黑他的都没脑子吧
46,700437697,0,1565794113000,2,圣人:没意思
46,404000231,0,1565900578000,1,难道自己的理想破灭了就可以把心中还有理想的人的理想毁掉吗？？
46,1001398521,0,1565973735000,0,你们是什么三观，都是右相造孽还有永王，不是百姓。
46,1174870297,0,1565768291000,1,2019年08月14日举手~
46,1665948130,1,1565792268000,0,圣人？？？？
46,422255535,1,1565807500000,0,这剧就烂在张小敬手里了，不过不这么拍，过不了剧审
46,1036269993,1,1566050434000,1,平a没用的，放大招吧
46,1128147663,1,1565883676000,1,在张小敬眼里，兄弟就是用来出卖的
46,1470808455,1,1566061177000,0,一路利用兄弟这人设也是醉了
46,1514425075,1,1565787549000,1,真的不明白骂张小敬的都什么鬼，第八团为了大唐不退啊
46,1209285038,1,1565983706000,0,圣人太淡定了
46,344783233,1,1565937412000,0,圣人:演！继续演！！！看你们一眼算我输！！！！！！
46,1660712309,1,1565849166000,0,圣人淡定
46,1753442121,1,1565791387000,0,有没有想过，这些人计划成功之后，天下会不会大乱？
46,1047817855,1,1565874616000,1,这次圣人不跑了
46,1479267322,1,1565837846000,3,洪七公好淡定╮（﹀＿﹀）╭
46,322089650,1,1566012226000,0,一天的时间张小敬挨了多少打受了多少伤，还是满状态!
46,1349627261,1,1565879182000,1,圣人：我该怎么办！
46,1100265027,1,1565878806000,0,全剧无尿点的看完
46,1001398521,1,1565973879000,0,张小敬爱的是和他一起守护长安的兄弟，不是毁灭长安的
46,1718771296,1,1565853848000,0,圣人：你俩玩呢？
46,413627748,1,1565966760000,0,说张小敬愚忠的省省吧，他忠心的是百姓平安好么
46,1400568073,1,1566129646000,0,让朕想想谁能赢哈哈哈
46,1329832713,1,1566088797000,0,圣人是不是于和伟演的
46,1545787276,1,1565758439000,8,圣人说 我太难了
46,1033003479,1,1565800540000,0,不管什么原因，张小敬人设崩塌
46,1203330838,1,1565969000000,0,我有满血复活甲，我充值了，我傲娇
46,358242347,1,1565879753000,0,感觉是徐斌
46,822648392,1,1565877885000,0,杀死张小敬
46,1033793414,1,1565843156000,0,你比我厉害我不怕，反正我俩不会成为仇人
46,1375844095,1,1565840267000,0,得友如敬，倒了八辈子
46,1123929551,1,1565848249000,2,圣人淡定
46,1180969282,1,1566022418000,1,现在跟保护百姓还有什么关系？
46,345259897,1,1565935726000,0,跑啊，你咋还坐下了………
46,782957240,1,1566137672000,0,张小敬：圣人果然是圣人 坐着看打架
46,1518109690,1,1565857993000,0,李必：圣人：泰山崩于前二面不改色
46,818385590,1,1565845309000,0,最好天下大乱
46,1312237814,1,1565960626000,0,白天明  你看到这里了没
46,1033003479,1,1565800537000,0,张小敬最大的错误就是他想全了
46,1251916819,1,1565787185000,0,圣人说 我太难了
46,1742626995,1,1565794930000,0,说张小敬狗奴的，真的什么都不懂
46,434032981,1,1565965600000,0,萧规和小敬都是徐兵的棋子
46,1737100135,1,1565791503000,0,圣人好淡定啊
46,931521731,1,1565878281000,1,圣人：你们打我看着，找机会我就溜
46,1602750627,1,1565956134000,0,你跟没事人似的？？
46,1011482167,1,1565782110000,1,萧规打的张小敬哪里
46,785029571,1,1565776536000,0,让我静静看着你们装逼
46,1742626995,1,1565794918000,0,看不懂的才在骂，张小敬一直初心不改
46,327363771,1,1565944846000,0,你们打你们的，我稳如老狗哈哈哈哈哈
46,1492963209,1,1566017995000,0,有点不敢看下去了
46,826755879,1,1565764686000,0,真没想到这原来是个喜剧片
46,1140982832,1,1566038891000,1,圣人:演！继续演！！！看你们一眼算我输！！！！！！
46,1100265027,1,1565878811000,0,好淡定的圣人
